Score Date
147976 2022-02-01
147977 2022-02-01
147979 2022-02-01
147989 2022-02-01
147990 2022-02-01
148000 2022-02-01
148001 2022-02-01
148004 2022-02-02
148010 2022-02-02
148012 2022-02-02
148014 2022-02-02
148016 2022-02-02
148018 2022-02-02
147275 2022-02-02
147297 2022-02-02
148056 2022-02-03
148066 2022-02-03
149497 2022-02-07
146730 2022-02-07
145202 2022-02-07
144601 2022-02-07
143963 2022-02-07
143189 2022-02-07
135137 2022-02-07
135428 2022-02-08
133730 2022-02-08
133732 2022-02-08
133199 2022-02-08
132526 2022-02-08
131852 2022-02-08
130878 2022-02-08
130883 2022-02-08
130887 2022-02-08
130888 2022-02-08
130891 2022-02-08
130892 2022-02-08
130893 2022-02-08
130894 2022-02-08
130895 2022-02-08
131110 2022-02-09
131111 2022-02-09
131114 2022-02-09
131141 2022-02-09
131142 2022-02-09
131145 2022-02-09
131146 2022-02-09
131147 2022-02-09
131148 2022-02-09
131149 2022-02-09
131150 2022-02-09
131151 2022-02-09
131152 2022-02-09
131153 2022-02-09
131155 2022-02-09
131156 2022-02-09
131158 2022-02-09
131159 2022-02-09
131160 2022-02-09
131161 2022-02-09
131178 2022-02-09
131179 2022-02-09
128460 2022-02-09
128461 2022-02-09
128462 2022-02-09
126662 2022-02-09
126664 2022-02-09
126665 2022-02-09
126666 2022-02-09
126123 2022-02-09
126124 2022-02-09
125570 2022-02-09
125571 2022-02-09
125572 2022-02-09
125573 2022-02-09
125574 2022-02-09
125575 2022-02-09
125577 2022-02-09
125578 2022-02-09
125579 2022-02-09
125581 2022-02-09
125583 2022-02-09
125854 2022-02-10
124156 2022-02-10
123567 2022-02-10
123800 2022-02-11
123801 2022-02-11
123803 2022-02-11
123805 2022-02-11
123807 2022-02-11
123808 2022-02-11
123809 2022-02-11
123810 2022-02-11
123811 2022-02-11
123812 2022-02-11
123813 2022-02-11
123814 2022-02-11
123815 2022-02-11
123817 2022-02-11
123818 2022-02-11
123820 2022-02-11
123821 2022-02-11
123823 2022-02-11
123824 2022-02-11
123825 2022-02-11
123826 2022-02-11
123827 2022-02-11
123828 2022-02-11
122767 2022-02-11
122321 2022-02-11
122322 2022-02-11
122323 2022-02-11
122324 2022-02-11
122325 2022-02-11
121749 2022-02-11
121157 2022-02-11
121158 2022-02-11
120220 2022-02-11
120221 2022-02-11
120222 2022-02-11
120223 2022-02-11
120224 2022-02-11
120225 2022-02-11
120226 2022-02-11
120227 2022-02-11
119751 2022-02-11
118855 2022-02-11
118856 2022-02-11
118857 2022-02-11
118858 2022-02-11
118860 2022-02-11
118861 2022-02-11
118862 2022-02-11
118863 2022-02-11
118864 2022-02-11
118865 2022-02-11
118915 2022-02-11
119085 2022-02-12
118688 2022-02-13
118733 2022-02-13
119003 2022-02-14
119003 2022-02-14
118438 2022-02-14
118439 2022-02-14
117890 2022-02-14
117890 2022-02-14
117890 2022-02-14
117890 2022-02-14
117890 2022-02-14
117890 2022-02-14
117890 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117516 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117058 2022-02-14
117059 2022-02-14
117059 2022-02-14
117059 2022-02-14
117257 2022-02-15
117257 2022-02-15
117258 2022-02-15
117258 2022-02-15
117308 2022-02-15
117308 2022-02-15
117308 2022-02-15
117308 2022-02-15
117309 2022-02-15
117309 2022-02-15
117309 2022-02-15
117309 2022-02-15
117309 2022-02-15
117335 2022-02-15
117335 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117336 2022-02-15
117337 2022-02-15
117339 2022-02-15
117339 2022-02-15
117339 2022-02-15
117340 2022-02-15
117340 2022-02-15
117340 2022-02-15
117341 2022-02-15
117341 2022-02-15
117342 2022-02-15
117343 2022-02-15
117343 2022-02-15
117343 2022-02-15
117344 2022-02-15
117344 2022-02-15
117344 2022-02-15
117345 2022-02-15
117345 2022-02-15
117345 2022-02-15
117345 2022-02-15
117345 2022-02-15
117345 2022-02-15
117345 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117346 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117347 2022-02-15
117348 2022-02-15
117348 2022-02-15
117348 2022-02-15
117348 2022-02-15
117348 2022-02-15
117348 2022-02-15
117348 2022-02-15
117349 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
117350 2022-02-15
